country,carrier,min,max
DE,onwind,54437,
DE,offwind-ac,3874,
DE,offwind-dc,3874,
DE,solar,53781,
LU,onwind,120,
LU,solar,128,
NL,onwind,4100,
NL,offwind-ac,1250,
NL,offwind-dc,1250,
NL,solar,10213,
GB,onwind,14282,
GB,offwind-ac,5192,
GB,offwind-dc,5192,
GB,solar,13563,
IE,onwind,3054.8,
IE,offwind-ac,13,
IE,offwind-dc,13,
IE,solar,0,
FR,onwind,17380,
FR,offwind-dc,2,
FR,solar,11724,
DK,onwind,4534,
DK,offwind-ac,850,
DK,offwind-dc,850,
DK,solar,1300,
BE,onwind,2068,
BE,offwind-ac,1127,
BE,offwind-dc,1127,
BE,solar,5646,
IT,onwind,10839,
IT,offwind-ac,0,
IT,offwind-dc,0,
IT,solar,21594,
ES,onwind,27084,
ES,offwind-ac,0,
ES,offwind-dc,0,
ES,solar,11785,
SE,solar,1417,
SE,offwind-ac,102,
SE,offwind-dc,102,
SE,onwind,9485,
FI,offwind-dc,73,
NO,onwind,3975,
PL,onwind,6267,
PT,onwind,5214,
PT,solar,1025,
